"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Weight_old","Item_Visibility_upd"
"1","FDA15",9.3,"LF",0.016,"Dairy",249.8092,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",3735.138,9.3,0.016
"2","DRC01",5.92,"Regular",0.0193,"Soft_Drinks",48.2692,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",443.4228,5.92,0.0193
"3","FDN15",17.5,"LF",0.0168,"Meat",141.618,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",2097.27,17.5,0.0168
"4","FDX07",19.2,"Regular",20.25,"Fruits_and_Vegetables",182.095,"OUT010",1998,"Small","Tier_3","Grocery_Store",732.38,19.2,0
"5","NCD19",8.93,"LF",20.25,"Household",53.8614,"OUT013",1987,"High","Tier_3","Supermarket_Type1",994.7052,8.93,0
"6","FDP36",10.395,"Regular",20.25,"Baking_Goods",51.4008,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",556.6088,10.395,0
"7","FDO10",13.65,"Regular",0.0127,"Snack_Foods",57.6588,"OUT013",1987,"High","Tier_3","Supermarket_Type1",343.5528,13.65,0.0127
"8","FDP10",19,"LF",0.1275,"Snack_Foods",107.7622,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",4022.7636,NA,0.1275
"9","FDH17",16.2,"Regular",0.0167,"Frozen_Foods",96.9726,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",1076.5986,16.2,0.0167
"10","FDU28",19.2,"Regular",0.0944,"Frozen_Foods",187.8214,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",4710.535,19.2,0.0944
"11","FDY07",11.8,"LF",20.25,"Fruits_and_Vegetables",45.5402,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",1516.0266,11.8,0
"12","FDA03",18.5,"Regular",0.0455,"Dairy",144.1102,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2187.153,18.5,0.0455
"13","FDX32",15.1,"Regular",0.1,"Fruits_and_Vegetables",145.4786,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",1589.2646,15.1,0.1
"14","FDS46",17.6,"Regular",0.0473,"Snack_Foods",119.6782,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2145.2076,17.6,0.0473
"15","FDF32",16.35,"LF",0.068,"Fruits_and_Vegetables",196.4426,"OUT013",1987,"High","Tier_3","Supermarket_Type1",1977.426,16.35,0.068
"16","FDP49",9,"Regular",0.0691,"Breakfast",56.3614,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",1547.3192,9,0.0691
"17","NCB42",11.8,"LF",0.0086,"Health_and_Hygiene",115.3492,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",1621.8888,11.8,0.0086
"18","FDP49",9,"Regular",0.0692,"Breakfast",54.3614,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",718.3982,9,0.0692
"19","DRI11",8.26,"LF",0.0342,"Hard_Drinks",113.2834,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",2303.668,NA,0.0342
